state,sector,status_bucket,count
ANDAMAN AND NICOBAR ISLANDS,INFRA-1,dead,1
ANDAMAN AND NICOBAR ISLANDS,INFRA-1,granted,2
ANDAMAN AND NICOBAR ISLANDS,INFRA-2,dead,1
ANDAMAN AND NICOBAR ISLANDS,INFRA-2,granted,1
ANDAMAN AND NICOBAR ISLANDS,Industrial Projects - 2,granted,4
ANDAMAN AND NICOBAR ISLANDS,Industrial Projects - 2,tor_granted,1
ANDAMAN AND NICOBAR ISLANDS,Non-Coal Mining,granted,8
ANDAMAN AND NICOBAR ISLANDS,Non-Coal Mining,in_process,1
ANDAMAN AND NICOBAR ISLANDS,Thermal Projects,dead,1
ANDHRA PRADESH,INFRA-1,dead,12
ANDHRA PRADESH,INFRA-1,granted,28
ANDHRA PRADESH,INFRA-1,in_process,5
ANDHRA PRADESH,INFRA-1,tor_granted,7
ANDHRA PRADESH,INFRA-2,dead,32
ANDHRA PRADESH,INFRA-2,granted,121
ANDHRA PRADESH,INFRA-2,in_process,25
ANDHRA PRADESH,INFRA-2,tor_granted,30
ANDHRA PRADESH,Industrial Projects - 1,dead,48
ANDHRA PRADESH,Industrial Projects - 1,granted,45
ANDHRA PRADESH,Industrial Projects - 1,in_process,11
ANDHRA PRADESH,Industrial Projects - 1,tor_granted,28
ANDHRA PRADESH,Industrial Projects - 2,dead,27
ANDHRA PRADESH,Industrial Projects - 2,granted,49
ANDHRA PRADESH,Industrial Projects - 2,in_process,6
ANDHRA PRADESH,Industrial Projects - 2,tor_granted,24
ANDHRA PRADESH,Industrial Projects - 3,dead,38
ANDHRA PRADESH,Industrial Projects - 3,granted,52
ANDHRA PRADESH,Industrial Projects - 3,in_process,7
ANDHRA PRADESH,Industrial Projects - 3,tor_granted,28
ANDHRA PRADESH,Non-Coal Mining,dead,559
ANDHRA PRADESH,Non-Coal Mining,granted,2077
ANDHRA PRADESH,Non-Coal Mining,in_process,269
ANDHRA PRADESH,Non-Coal Mining,tor_granted,574
ANDHRA PRADESH,None,in_process,83
ANDHRA PRADESH,River Valley and Hydroelectric Projects,dead,5
ANDHRA PRADESH,River Valley and Hydroelectric Projects,granted,7
ANDHRA PRADESH,River Valley and Hydroelectric Projects,in_process,5
ANDHRA PRADESH,River Valley and Hydroelectric Projects,tor_granted,25
ANDHRA PRADESH,Thermal Projects,dead,3
ANDHRA PRADESH,Thermal Projects,granted,3
ARUNACHAL PRADESH,Coal Mining,in_process,1
ARUNACHAL PRADESH,INFRA-2,dead,2
ARUNACHAL PRADESH,INFRA-2,in_process,1
ARUNACHAL PRADESH,Industrial Projects - 1,dead,1
ARUNACHAL PRADESH,Industrial Projects - 1,in_process,1
ARUNACHAL PRADESH,Industrial Projects - 1,tor_granted,3
ARUNACHAL PRADESH,Industrial Projects - 2,dead,1
ARUNACHAL PRADESH,Industrial Projects - 2,granted,4
ARUNACHAL PRADESH,Industrial Projects - 2,in_process,3
ARUNACHAL PRADESH,Industrial Projects - 2,tor_granted,1
ARUNACHAL PRADESH,Non-Coal Mining,granted,2
ARUNACHAL PRADESH,Non-Coal Mining,in_process,1
ARUNACHAL PRADESH,Non-Coal Mining,tor_granted,1
ARUNACHAL PRADESH,River Valley and Hydroelectric Projects,dead,5
ARUNACHAL PRADESH,River Valley and Hydroelectric Projects,granted,7
ARUNACHAL PRADESH,River Valley and Hydroelectric Projects,in_process,4
ARUNACHAL PRADESH,River Valley and Hydroelectric Projects,tor_granted,9
ASSAM,Coal Mining,dead,4
ASSAM,Coal Mining,in_process,2
ASSAM,Coal Mining,tor_granted,2
ASSAM,INFRA-1,dead,1
ASSAM,INFRA-1,granted,1
ASSAM,INFRA-1,tor_granted,3
ASSAM,INFRA-2,dead,26
ASSAM,INFRA-2,granted,97
ASSAM,INFRA-2,in_process,9
ASSAM,INFRA-2,tor_granted,16
ASSAM,Industrial Projects - 1,dead,12
ASSAM,Industrial Projects - 1,granted,16
ASSAM,Industrial Projects - 1,in_process,4
ASSAM,Industrial Projects - 1,tor_granted,19
ASSAM,Industrial Projects - 2,dead,15
ASSAM,Industrial Projects - 2,granted,43
ASSAM,Industrial Projects - 2,in_process,3
ASSAM,Industrial Projects - 2,tor_granted,6
ASSAM,Industrial Projects - 3,dead,3
ASSAM,Industrial Projects - 3,granted,13
ASSAM,Industrial Projects - 3,tor_granted,2
ASSAM,Non-Coal Mining,dead,342
ASSAM,Non-Coal Mining,granted,889
ASSAM,Non-Coal Mining,in_process,93
ASSAM,Non-Coal Mining,tor_granted,31
ASSAM,None,in_process,10
ASSAM,River Valley and Hydroelectric Projects,dead,1
ASSAM,River Valley and Hydroelectric Projects,granted,1
ASSAM,River Valley and Hydroelectric Projects,tor_granted,6
ASSAM,Thermal Projects,granted,1
ASSAM,Thermal Projects,tor_granted,2
BIHAR,INFRA-1,dead,9
BIHAR,INFRA-1,granted,11
BIHAR,INFRA-1,in_process,1
BIHAR,INFRA-1,tor_granted,13
BIHAR,INFRA-2,dead,15
BIHAR,INFRA-2,granted,108
BIHAR,INFRA-2,in_process,12
BIHAR,INFRA-2,tor_granted,17
BIHAR,Industrial Projects - 1,dead,4
BIHAR,Industrial Projects - 1,granted,16
BIHAR,Industrial Projects - 1,in_process,2
BIHAR,Industrial Projects - 1,tor_granted,18
BIHAR,Industrial Projects - 2,dead,2
BIHAR,Industrial Projects - 2,granted,11
BIHAR,Industrial Projects - 2,in_process,1
BIHAR,Industrial Projects - 2,tor_granted,4
BIHAR,Industrial Projects - 3,granted,1
BIHAR,Industrial Projects - 3,tor_granted,1
BIHAR,Non-Coal Mining,dead,80
BIHAR,Non-Coal Mining,granted,1353
BIHAR,Non-Coal Mining,in_process,270
BIHAR,Non-Coal Mining,tor_granted,449
BIHAR,None,in_process,20
