date,deal_type,target,acquirer,title,url
2026-09-01,acquisition,Apollo Fertility Centre (AFCPL) and Apollo Specialty Hospitals (ASHPL),Kids Clinic India Ltd,CCI approves acquisition of up to 100% equity shareholding of Apollo Fertility Centre (AFCPL) and Apollo Specialty Hospitals (ASHPL) by Kids Clinic India Ltd. (KCIL) and related transactions,https://pib.gov.in/PressReleasePage.aspx?PRID=2305742
2026-09-01,acquisition,Aseem Infrastructure Finance Limited,TPG Nicobar SG Pte,CCI approves acquisition of Aseem Infrastructure Finance Limited by TPG Nicobar SG Pte. Ltd. and related transactions,https://pib.gov.in/PressReleasePage.aspx?PRID=2305743
2026-08-26,acquisition,Kestrel Coal Group Pty Ltd.,Yancoal Australia,CCI approves acquisition of 100% stake in Kestrel Coal Group Pty Ltd. by Yancoal Australia from certain sellers,https://pib.gov.in/PressReleasePage.aspx?PRID=2303221
2026-08-26,acquisition,Tao Digital Solutions,Cyient Ltd,CCI approves acquisition of 100% share capital of Tao Digital Solutions by Cyient Ltd,https://pib.gov.in/PressReleasePage.aspx?PRID=2303223
2026-08-19,acquisition,Bharti Life Insurance Company,Prudential Corporation Holdings,CCI approves acquisition of certain equity shareholding in Bharti Life Insurance Company by Prudential Corporation Holdings,https://pib.gov.in/PressReleasePage.aspx?PRID=2300955
2026-08-19,acquisition,Acko Technology & Services Pvt Ltd.,General Atlantic Singapore ACK Pte,CCI approves acquisition of additional shareholding of Acko Technology & Services Pvt Ltd. by General Atlantic Singapore ACK Pte. Ltd,https://pib.gov.in/PressReleasePage.aspx?PRID=2300956
2026-08-19,acquisition,TM International Logistics,Tata Steel Ltd,CCI approves acquisition of 23% equity shareholding of TM International Logistics by Tata Steel Ltd,https://pib.gov.in/PressReleasePage.aspx?PRID=2300957
2026-07-29,acquisition,"units of Oaktree capital group Holdings, L.P. (OCGH), and Oaktree Equity Plan, L.P. (OEP)",Brookfield Asset Management Ltd,"CCI approves acquisition of units of Oaktree capital group Holdings, L.P. (OCGH), and Oaktree Equity Plan, L.P. (OEP) by Brookfield Asset Management Ltd. (BAM)",https://pib.gov.in/PressReleasePage.aspx?PRID=2290714
2026-07-29,amalgamation,Go Digit Infoworks Services,Go Digit General Insurance Ltd,"CCI approves amalgamation of Go Digit Infoworks Services, holding company of Go Digit General Insurance Ltd, with Go Digit General Insurance Ltd, such that Go Digit General Insurance Ltd will be the surviving entity",https://pib.gov.in/PressReleasePage.aspx?PRID=2290715
2026-07-01,acquisition,Nippon Life India AIF Management Limited,DWS Group GmbH & Co,CCI approves the proposed combination involving acquisition of certain shareholding in Nippon Life India AIF Management Limited by DWS Group GmbH & Co. KGaA,https://pib.gov.in/PressReleasePage.aspx?PRID=2279988
