date,deal_type,role,company_name,title,url
2026-09-01,acquisition,target,Apollo Fertility Centre (AFCPL) and Apollo Specialty Hospitals (ASHPL),CCI approves acquisition of up to 100% equity shareholding of Apollo Fertility Centre (AFCPL) and Apollo Specialty Hospitals (ASHPL) by Kids Clinic India Ltd. (KCIL) and related transactions,https://pib.gov.in/PressReleasePage.aspx?PRID=2305742
2026-09-01,acquisition,acquirer,Kids Clinic India Ltd,CCI approves acquisition of up to 100% equity shareholding of Apollo Fertility Centre (AFCPL) and Apollo Specialty Hospitals (ASHPL) by Kids Clinic India Ltd. (KCIL) and related transactions,https://pib.gov.in/PressReleasePage.aspx?PRID=2305742
2026-09-01,acquisition,target,Aseem Infrastructure Finance Limited,CCI approves acquisition of Aseem Infrastructure Finance Limited by TPG Nicobar SG Pte. Ltd. and related transactions,https://pib.gov.in/PressReleasePage.aspx?PRID=2305743
2026-09-01,acquisition,acquirer,TPG Nicobar SG Pte,CCI approves acquisition of Aseem Infrastructure Finance Limited by TPG Nicobar SG Pte. Ltd. and related transactions,https://pib.gov.in/PressReleasePage.aspx?PRID=2305743
2026-08-26,acquisition,target,Kestrel Coal Group Pty Ltd.,CCI approves acquisition of 100% stake in Kestrel Coal Group Pty Ltd. by Yancoal Australia from certain sellers,https://pib.gov.in/PressReleasePage.aspx?PRID=2303221
2026-08-26,acquisition,acquirer,Yancoal Australia,CCI approves acquisition of 100% stake in Kestrel Coal Group Pty Ltd. by Yancoal Australia from certain sellers,https://pib.gov.in/PressReleasePage.aspx?PRID=2303221
2026-08-26,acquisition,target,Tao Digital Solutions,CCI approves acquisition of 100% share capital of Tao Digital Solutions by Cyient Ltd,https://pib.gov.in/PressReleasePage.aspx?PRID=2303223
2026-08-26,acquisition,acquirer,Cyient Ltd,CCI approves acquisition of 100% share capital of Tao Digital Solutions by Cyient Ltd,https://pib.gov.in/PressReleasePage.aspx?PRID=2303223
2026-08-19,acquisition,target,Bharti Life Insurance Company,CCI approves acquisition of certain equity shareholding in Bharti Life Insurance Company by Prudential Corporation Holdings,https://pib.gov.in/PressReleasePage.aspx?PRID=2300955
2026-08-19,acquisition,acquirer,Prudential Corporation Holdings,CCI approves acquisition of certain equity shareholding in Bharti Life Insurance Company by Prudential Corporation Holdings,https://pib.gov.in/PressReleasePage.aspx?PRID=2300955
2026-08-19,acquisition,target,Acko Technology & Services Pvt Ltd.,CCI approves acquisition of additional shareholding of Acko Technology & Services Pvt Ltd. by General Atlantic Singapore ACK Pte. Ltd,https://pib.gov.in/PressReleasePage.aspx?PRID=2300956
2026-08-19,acquisition,acquirer,General Atlantic Singapore ACK Pte,CCI approves acquisition of additional shareholding of Acko Technology & Services Pvt Ltd. by General Atlantic Singapore ACK Pte. Ltd,https://pib.gov.in/PressReleasePage.aspx?PRID=2300956
2026-08-19,acquisition,target,TM International Logistics,CCI approves acquisition of 23% equity shareholding of TM International Logistics by Tata Steel Ltd,https://pib.gov.in/PressReleasePage.aspx?PRID=2300957
2026-08-19,acquisition,acquirer,Tata Steel Ltd,CCI approves acquisition of 23% equity shareholding of TM International Logistics by Tata Steel Ltd,https://pib.gov.in/PressReleasePage.aspx?PRID=2300957
2026-07-29,acquisition,target,"units of Oaktree capital group Holdings, L.P. (OCGH), and Oaktree Equity Plan, L.P. (OEP)","CCI approves acquisition of units of Oaktree capital group Holdings, L.P. (OCGH), and Oaktree Equity Plan, L.P. (OEP) by Brookfield Asset Management Ltd. (BAM)",https://pib.gov.in/PressReleasePage.aspx?PRID=2290714
2026-07-29,acquisition,acquirer,Brookfield Asset Management Ltd,"CCI approves acquisition of units of Oaktree capital group Holdings, L.P. (OCGH), and Oaktree Equity Plan, L.P. (OEP) by Brookfield Asset Management Ltd. (BAM)",https://pib.gov.in/PressReleasePage.aspx?PRID=2290714
2026-07-29,amalgamation,target,Go Digit Infoworks Services,"CCI approves amalgamation of Go Digit Infoworks Services, holding company of Go Digit General Insurance Ltd, with Go Digit General Insurance Ltd, such that Go Digit General Insurance Ltd will be the surviving entity",https://pib.gov.in/PressReleasePage.aspx?PRID=2290715
2026-07-29,amalgamation,acquirer,Go Digit General Insurance Ltd,"CCI approves amalgamation of Go Digit Infoworks Services, holding company of Go Digit General Insurance Ltd, with Go Digit General Insurance Ltd, such that Go Digit General Insurance Ltd will be the surviving entity",https://pib.gov.in/PressReleasePage.aspx?PRID=2290715
