name,category,mention_count_in_titles,first_seen_date,last_seen_date,ministry_of_latest_mention,sample_title,sample_url
Vastu Housing Finance Corporation Limited,Financial/Advisory,3,2024-08-07,2025-04-08,Competition Commission of India,"CCI approves the proposed acquisition of shareholding in Vastu Housing Finance Corporation Limited, APAC Financial Services Limited, and Quantiphi, Inc by Multiples Plenty Private Equity GIFT Fund",https://pib.gov.in/PressReleasePage.aspx?PRID=2120190
Edelweiss Securities Limited,Financial/Advisory,2,2019-10-16,2019-12-13,Competition Commission of India,CCI approves Sanaka Growth SPV I Limited investment in Edelweiss Securities Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1596409
Hero FinCorp Limited,Financial/Advisory,2,2020-03-11,2022-04-04,Competition Commission of India,CCI approves acquisition of certain compulsorily convertible preference shares of Hero FinCorp Limited by AHVF II Holdings Singapore II Pte. Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=1813387
HDFC Capital Advisors Limited,Financial/Advisory,1,2025-07-31,2025-07-31,Ministry of Commerce & Industry,DPIIT signs MoU with HDFC Capital Advisors Limited to boost innovation in affordable housing and PropTech sectors,https://pib.gov.in/PressReleasePage.aspx?PRID=2150788
Primus Partners Pvt,Financial/Advisory,1,2025-10-23,2025-10-23,Ministry of Commerce & Industry,DPIIT signs MoU with Primus Partners Pvt. Ltd. to strengthen the startup ecosystem,https://pib.gov.in/PressReleasePage.aspx?PRID=2181809
Rukam Capital,Financial/Advisory,1,2025-02-13,2025-02-13,Ministry of Commerce & Industry,DPIIT partners with Rukam Capital and Bootstrap Incubation to boost India’s startup ecosystem,https://pib.gov.in/PressReleasePage.aspx?PRID=2102758
Bootstrap Incubation,Financial/Advisory,1,2025-02-13,2025-02-13,Ministry of Commerce & Industry,DPIIT partners with Rukam Capital and Bootstrap Incubation to boost India’s startup ecosystem,https://pib.gov.in/PressReleasePage.aspx?PRID=2102758
Thermo Fisher Scientific,Financial/Advisory,1,2025-10-01,2025-10-01,Ministry of Commerce & Industry,DPIIT and Thermo Fisher Scientific Sign MoU to Strengthen India’s Biotech Startup Ecosystem,https://pib.gov.in/PressReleasePage.aspx?PRID=2173540
Shell India,Foreign/Global,3,2021-01-19,2026-08-20,Ministry of Commerce & Industry,DPIIT Signs MoUs with PhonePe and Shell India to Strengthen Startup Ecosystem and Drive Innovation,https://pib.gov.in/PressReleasePage.aspx?PRID=2301601
Tech Data Corporation,Foreign/Global,2,2020-04-30,2021-07-01,Competition Commission of India,CCI approves merger of Tech Data Corporation with SYNNEX Corporation,https://pib.gov.in/PressReleasePage.aspx?PRID=1731854
International Flavors & Fragrances,Foreign/Global,2,2020-09-19,2025-03-05,Competition Commission of India,CCI approves the proposed combination involving acquisition of pharma solution segment and product lines of Nourish segment of International Flavors & Fragrances Inc.(IFF) by Roquette Frères S.A.(Roquette),https://pib.gov.in/PressReleasePage.aspx?PRID=2108312
MosChip and Socionext,Foreign/Global,1,2024-07-01,2024-07-01,Ministry of Electronics & IT,C-DAC partners with MosChip and Socionext for design & development of High Performance Computing Processor AUM based on Arm architecture,https://pib.gov.in/PressReleasePage.aspx?PRID=2030068
NTPC,PSU/CPSE,234,2017-03-17,2026-09-03,Ministry of Power,NTPC Electron Quiz 2026–27 to be Held in Mumbai on September 17,https://pib.gov.in/PressReleasePage.aspx?PRID=2306321
NMDC,PSU/CPSE,106,2017-12-08,2026-07-18,Ministry of Steel,"Shri Vivek Nishant Nath takes charge as Director (Commercial), NMDC",https://pib.gov.in/PressReleasePage.aspx?PRID=2286145
