date,company_name,category,title,url
2026-08-31,Thapar Institute of Engineering & Technology,Unknown,"MoSPI signs MoU with Thapar Institute of Engineering & Technology, Punjab for undertaking a Research Study",https://pib.gov.in/PressReleasePage.aspx?PRID=2305194
2026-08-20,PhonePe,Startup,MeitY partners with PhonePe to strengthen PM GatiShakti with granular data intelligence,https://pib.gov.in/PressReleasePage.aspx?PRID=2301687
2026-08-06,Netflix,Private/MNC,Ministry of Culture and Ministry of Tourism partner with Netflix to showcase India's cultural heritage and tourism destinations through authentic storytelling,https://pib.gov.in/PressReleasePage.aspx?PRID=2295242
2026-07-15,University of Delhi,Unknown,"Ministry of Ayush signs MoU with University of Delhi to advance research, innovation and sustainable utilisation of medicinal plants",https://pib.gov.in/PressReleasePage.aspx?PRID=2285006
2026-07-08,BECIL,Unknown,"TEC, the technical arm of DoT, signs MoU with BECIL to Strengthen India’s Telecom and Broadcasting Ecosystem",https://pib.gov.in/PressReleasePage.aspx?PRID=2282582
2026-06-05,Learning Links Foundation,Unknown,NESTS signs MoU with Learning Links Foundation to implement Amazon Future Engineer Program (AFE) in EMRSs,https://pib.gov.in/PressReleasePage.aspx?PRID=2269329
2026-06-05,CoGrad,Unknown,NESTS signs MoU with CoGrad to strengthen AI-enabled academic support in Eklavya Model Residential Schools (EMRS),https://pib.gov.in/PressReleasePage.aspx?PRID=2269451
2026-05-21,MDI,Unknown,"SAIL signs MoU with MDI, Gurgaon for Executive Education Program",https://pib.gov.in/PressReleasePage.aspx?PRID=2263846
2026-05-13,Karya,Unknown,IndiaAI signs MoU with Karya to strengthen inclusive AI ecosystem,https://pib.gov.in/PressReleasePage.aspx?PRID=2260790
2026-05-07,RIS,Unknown,NIScPR signed an MoU with RIS to strengthen Science Technology Innovation Policy and Diplomacy,https://pib.gov.in/PressReleasePage.aspx?PRID=2258639
2026-05-06,Federation of Indian Chambers of Commerce and Industry,Unknown,Office of Principal Scientific Adviser to the Government of India signs a MoU with Federation of Indian Chambers of Commerce and Industry to Foster an Enabling Ecosystem for R&D,https://pib.gov.in/PressReleasePage.aspx?PRID=2258487
2026-04-28,Dr. Sarvepalli Radhakrishnan Rajasthan Ayurved University,Unknown,All India Institute of Ayurveda–iCAINE signs MoU with Dr. Sarvepalli Radhakrishnan Rajasthan Ayurved University,https://pib.gov.in/PressReleasePage.aspx?PRID=2256398
2026-03-31,Delhi Technological University,Unknown,National Council for Cement and Building Materials signs MoU with Delhi Technological University to strengthen skill development and capacity building in construction sector,https://pib.gov.in/PressReleasePage.aspx?PRID=2247307
2026-03-30,Science City of Andhra Pradesh,Unknown,CSIR–National Institute of Science Communication and Policy Research (NIScPR) signed an MoU with Science City of Andhra Pradesh to Strengthen Science Communication and STI Policy Research,https://pib.gov.in/PressReleasePage.aspx?PRID=2247006
2026-03-30,Gati Shakti Vishwavidyalaya,Unknown,"DGCA signs MoU with Gati Shakti Vishwavidyalaya to train youth in broad areas of Aviation, including Aviation Engineering and Aviation Management",https://pib.gov.in/PressReleasePage.aspx?PRID=2247104
2026-02-25,IIT Kharagpur,Unknown,TEC signs MoU with IIT Kharagpur for collaboration on Joint Studies and Technical Contributions in Telecom Technologies and Standardisation Activities,https://pib.gov.in/PressReleasePage.aspx?PRID=2232716
2026-02-13,Rashtriya Raksha University,Unknown,"Centre for Development of Telematics signs MoU with Rashtriya Raksha University, Gandhinagar to boost Collaborative research and innovation in strategic areas of National importance",https://pib.gov.in/PressReleasePage.aspx?PRID=2227816
2026-01-23,Industry,Unknown,"DST Institute partners with Industry for translating research on,” Smarter Cooling of Aviation Batteries”",https://pib.gov.in/PressReleasePage.aspx?PRID=2217710
2026-01-08,IIT Kanpur,Unknown,TEC signs MoU with IIT Kanpur for collaboration on Joint Studies and Technical Contributions in Telecom Technologies and Standardisation Activities,https://pib.gov.in/PressReleasePage.aspx?PRID=2212536
2026-01-05,NSTFDC,Unknown,ONGC Ltd. signed MoU with NSTFDC for execution of CSR funded infrastructure development of Eklavya Model Residential Schools,https://pib.gov.in/PressReleasePage.aspx?PRID=2211593
