date,company_name,title,url
2026-09-10,Ceramat Private Limited,TDB-DST Supports M/s Ceramat Private Limited for Commercialisation of 3D-Printed Patient-Specific Bone Grafts,https://pib.gov.in/PressReleasePage.aspx?PRID=2308145
2026-08-20,One2X Tech Pvt. Ltd.,"TDB-DST Supports M/s One2X Tech Pvt. Ltd., Delhi, for Commercialization of Indigenous Agentic AI Technology",https://pib.gov.in/PressReleasePage.aspx?PRID=2301515
2026-08-01,Foodtechnics Pvt. Ltd.,"TDB-DST Supports M/s Foodtechnics Pvt. Ltd., Bengaluru, for Commercialization of Indigenous Compact Automatic Roti Making Machine",https://pib.gov.in/PressReleasePage.aspx?PRID=2292262
2026-08-01,RoadGrid India Private Limited,"TDB-DST Supports M/s RoadGrid India Private Limited, Indore, for Commercialization of Indigenous Universal EV Charging Technology",https://pib.gov.in/PressReleasePage.aspx?PRID=2292264
2026-07-31,Sonic Biochem Extractions Pvt. Ltd.,"TDB-DST supports M/s Sonic Biochem Extractions Pvt. Ltd., Indore, for Commercialization of Indigenous Functional and Textured Soya Protein Concentrates",https://pib.gov.in/PressReleasePage.aspx?PRID=2291532
2026-07-16,K. N,"TDB-DST Supports M/s K. N. Biosciences (India) Private Limited, Hyderabad, for Commercialization of Indigenous C-Phycocyanin Production Technology from Spirulina",https://pib.gov.in/PressReleasePage.aspx?PRID=2285332
2026-06-30,Puretronics India Private Limited,"“TDB-DST Supports M/s Puretronics India Private Limited, Mumbai for Commercialization of India’s First Contactless Programmable Load Measurement System”",https://pib.gov.in/PressReleasePage.aspx?PRID=2279369
2026-06-10,"TIEA Connectors Pvt. Ltd., Bengaluru","TDB-DST Supports TIEA Connectors Pvt. Ltd., Bengaluru, for Commercialization of Indigenous High-Reliability Connector Technologies for Aerospace, Defence, Space and Electric Mobility Applications",https://pib.gov.in/PressReleasePage.aspx?PRID=2271121
2026-06-05,Greenjoules Private Limited,"TDB-DST supports M/s Greenjoules Private Limited, Pune for Commercialization of Indigenous Second-Generation Diesel Equivalent Biofuel Technology",https://pib.gov.in/PressReleasePage.aspx?PRID=2269370
2026-06-04,Bioneemtec India Private Limited,"“TDB-DST supports M/s Bioneemtec India Private Limited, Chennai for Commercialization of Green Chemistry-Based Pharmaceutical Manufacturing Technologies”",https://pib.gov.in/PressReleasePage.aspx?PRID=2268897
2026-05-27,IDT Innovation Technologies Pvt. Ltd.,"“TDB-DST Supports M/s IDT Innovation Technologies Pvt. Ltd., Nagpur for Commercialization of Indigenous Industrial AIoT Solutions”",https://pib.gov.in/PressReleasePage.aspx?PRID=2265914
2026-05-21,"Ansoz Creations, Bhopal","""TDB-DST supports Ansoz Creations, Bhopal for Commercialization of Electronics and IT based STEM Activity Kit.""",https://pib.gov.in/PressReleasePage.aspx?PRID=2263693
2026-05-14,Helix Cell Therapeutics,""" TDB-DST Supports Helix Cell Therapeutics under Indo-Singapore Collaboration for Advanced CAR-T Cell Therapy against Multiple Myeloma """,https://pib.gov.in/PressReleasePage.aspx?PRID=2260922
2026-05-07,NTF Energy Solutions Pvt. Ltd.,“TDB-DST supports NTF Energy Solutions Pvt. Ltd. for Commercialisation of Indigenous Type-IV CNG Cylinders under India’s Clean Mobility Vision”,https://pib.gov.in/PressReleasePage.aspx?PRID=2258588
2026-04-13,CASEY AVIATION PVT. LTD.,"""TDB-DST SUPPORTS CASEY AVIATION PVT. LTD. UNDER INDIA–UK COLLABORATIVE R&D PROGRAMME FOR ADVANCED HYBRID PROPULSION IN UNMANNED AVIATION""",https://pib.gov.in/PressReleasePage.aspx?PRID=2251405
2026-04-06,SCHARGE PVT. LTD.,TDB-DST SUPPORTS SCHARGE PVT. LTD. UNDER INDIA–UK COLLABORATIVE R&D PROGRAMME FOR ADVANCED EV CHARGING INFRASTRUCTURE,https://pib.gov.in/PressReleasePage.aspx?PRID=2249255
2026-03-24,Supports InfinityX Innovations,“TDB-DST supports Supports InfinityX Innovations for Automated Battery Swapping Infrastructure to Accelerate EV Adoption”,https://pib.gov.in/PressReleasePage.aspx?PRID=2244546
2026-03-17,"Acrannolife Genomics Private Limited, Chennai","“TDB-DST supports Acrannolife Genomics Private Limited, Chennai for Indigenous Manufacturing of Advanced IVD Diagnostic Kits”",https://pib.gov.in/PressReleasePage.aspx?PRID=2241259
2026-03-12,ORBITAID AEROSPACE PVT. LTD.,TDB-DST SUPPORTS ORBITAID AEROSPACE PVT. LTD. FOR DEVELOPMENT OF INDIGENOUS ON-ORBIT SATELLITE DOCKING AND REFUELING TECHNOLOGY,https://pib.gov.in/PressReleasePage.aspx?PRID=2239031
2026-03-10,Wellnesys Technologies Pvt. Ltd.,“TDB-DST supports M/s Wellnesys Technologies Pvt. Ltd. for Commercialization of AI-Powered Smart Yoga Mat”,https://pib.gov.in/PressReleasePage.aspx?PRID=2237453
2026-03-06,MiniMines Cleantech Solutions Pvt. Ltd.,“TDB-DST Supports MiniMines Cleantech Solutions Pvt. Ltd. for Sustainable Recycling of Lithium-ion Batteries”,https://pib.gov.in/PressReleasePage.aspx?PRID=2235968
2026-02-26,Carbon Craft Design Pvt. Ltd.,“TDB-DST supports Carbon Craft Design Pvt. Ltd. for Commercialization of Eco-Friendly Ultra-Low Carbon Wall Claddings”,https://pib.gov.in/PressReleasePage.aspx?PRID=2232966
2026-02-26,Ayukriyam Innovations Pvt. Ltd.,“TDB supports Ayukriyam Innovations Pvt. Ltd. for Development of ‘Autoscope’ – An AI-Driven Whole Slide Imaging Diagnostic System”,https://pib.gov.in/PressReleasePage.aspx?PRID=2232968
2026-02-13,Elmentoz Research Private Limited,“TDB-DST Signs Agreement with M/s. Elmentoz Research Private Limited for Commercialisation of Indigenous AMP-Enriched Smart Protein for Animal Nutrition”,https://pib.gov.in/PressReleasePage.aspx?PRID=2227417
2026-02-10,Gudlyf Mobility,“TDB-DST signs agreement with M/s Gudlyf Mobility to support Indigenous 700 Bar Hydrogen Storage Systems”,https://pib.gov.in/PressReleasePage.aspx?PRID=2225757
2025-12-30,"Vijai Marine Services Pvt. Ltd., Goa","“Government of India strengthens green marine mobility: TDB-DST supports Vijai Marine Services Pvt. Ltd., Goa under Indo-Canada Collaborative Industrial R&D Programme”",https://pib.gov.in/PressReleasePage.aspx?PRID=2209827
2025-12-17,NOPO Nanotechnologies India Pvt. Ltd.,"""TDB-DST Supports M/s NOPO Nanotechnologies India Pvt. Ltd., Bengaluru for Advanced Sodium-Ion Battery Technology under I4F Call""",https://pib.gov.in/PressReleasePage.aspx?PRID=2206708
2025-11-21,TechInvention Lifecare Ltd.,"TDB-DST extends support to M/s TechInvention Lifecare Ltd., Navi Mumbai for Indigenous Development of 16-Valent Pneumococcal Conjugate Vaccine",https://pib.gov.in/PressReleasePage.aspx?PRID=2192438
2025-10-31,Westech Power Management Pvt. Ltd,"TDB-DST sanctions Support for Indigenous Supercapacitor Energy Storage System by M/s Westech Power Management Pvt. Ltd, Pune, Maharashtra",https://pib.gov.in/PressReleasePage.aspx?PRID=2184763
2025-09-19,Kapih Deep Tech Private Limited,"""TDB-DST Supports M/s Kapih Deep Tech Private Limited, Pune with ₹4.07 Crores Conditional Grant assistance under India-Israel Industrial R&D and Technological Innovation Fund (I4F)""",https://pib.gov.in/PressReleasePage.aspx?PRID=2168421
2025-07-25,Egee Pallet Pvt. Ltd.,“TDB-DST signs agreement with M/s Egee Pallet Pvt. Ltd. for Waste-to-Packaging Innovation”,https://pib.gov.in/PressReleasePage.aspx?PRID=2148330
2025-06-24,BatX Energies,“TDB supports BatX Energies for Commercialisation of Indigenous Battery Recycling Technology”,https://pib.gov.in/PressReleasePage.aspx?PRID=2139197
2025-06-12,Clearsynth Labs Limited,“TDB Extends Financial Support to M/s Clearsynth Labs Limited for Establishment of Bulk Manufacturing Facility for Deuterated Reagents and Building Blocks”,https://pib.gov.in/PressReleasePage.aspx?PRID=2135926
2025-06-09,Autocracy Machinery,“TDB-DST supports Indigenous Trenching Technology by M/s Autocracy Machinery”,https://pib.gov.in/PressReleasePage.aspx?PRID=2135141
2025-06-04,Meta Tattva Systems Pvt. Ltd.,“TDB Supports Indigenous Development of Multi-Spectral Camouflage Systems for Defence by M/s Meta Tattva Systems Pvt. Ltd.”,https://pib.gov.in/PressReleasePage.aspx?PRID=2133746
2025-06-02,Nitika Pharmaceutical Specialties Pvt. Ltd.,"TDB supports Indigenous Manufacturing of Complex Pharmaceutical Excipients by M/s Nitika Pharmaceutical Specialties Pvt. Ltd., Nagpur, Maharashtra",https://pib.gov.in/PressReleasePage.aspx?PRID=2133315
2025-04-17,dvipa Defence India Pvt. Ltd,"Technology Development Board-Department of Science and Technology (TDB-DST) supports M/s dvipa Defence India Pvt. Ltd. in Strengthening India's Small Arms Manufacturing Ecosystem""",https://pib.gov.in/PressReleasePage.aspx?PRID=2122388
2025-02-28,APChemi Pvt. Ltd.,"“TDB-DST supports M/s APChemi Pvt. Ltd., Navi Mumbai to Advance Plastic Circularity with Indigenous Pyrolysis Oil Purification Technology”",https://pib.gov.in/PressReleasePage.aspx?PRID=2107018
2024-05-30,Midwest Advanced Materials Private Limited,"Technology Development Board (TDB) - Department of Science and Technology (DST) approves support for M/s Midwest Advanced Materials Private Limited, Hyderabad for Sustainable Magnet Production",https://pib.gov.in/PressReleasePage.aspx?PRID=2022185
2024-03-07,Alchem Synthon Pvt. Ltd.,"""TDB-DST Supports M/s Alchem Synthon Pvt. Ltd., Mumbai, with ₹8.6 Crores loan assistance for Advanced Chemical Manufacturing Facility""",https://pib.gov.in/PressReleasePage.aspx?PRID=2012155
2023-08-10,Bengaluru-based TIEA Connectors with Rs 3.81 crore funding,TDB-DST supports Bengaluru-based TIEA Connectors with Rs 3.81 crore funding for commercializing cutting-edge technology,https://pib.gov.in/PressReleasePage.aspx?PRID=1947494
2023-08-09,Noccarc Robotics Private Limited,"“TDB-DST approves support to M/s Noccarc Robotics Private Limited, Maharashtra; Company to Commercialize Digitally-Enabled Advanced Universal ICU Ventilator”",https://pib.gov.in/PressReleasePage.aspx?PRID=1947043
2023-08-07,Alchemy Recyclers Private Limited,"TDB-DST supports M/s Alchemy Recyclers Private Limited, Gujarat, for the development of an Integrated Plant for the Recovery of Precious Metals from E-waste, Jewellers Waste and Automobile Catalyst Waste",https://pib.gov.in/PressReleasePage.aspx?PRID=1946350
2023-03-29,Sahi Fab Private Limited,"“TDB-DST supports M/s Sahi Fab Private Limited, New Delhi for Development and Commercialization Fibre from agricultural waste of stem materials like Industrial hemp, flax and nettle etc.”",https://pib.gov.in/PressReleasePage.aspx?PRID=1911682
2023-03-29,Huwel Lifesciences Private Limited,"“TDB-DST supports M/s Huwel Lifesciences Private Limited, Telangana for Validation and Commercialization of Rapid Real time PCR reagents for storage and transport at room temperature”.",https://pib.gov.in/PressReleasePage.aspx?PRID=1911914
